P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
Kepler-57 b,Superterran,rocky-iron,non-habitable,0,-2.404333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-58 b,Neptunian,rocky-iron,non-habitable,0,-13.940979,0.1,0.6,0.1,0.1,0.1,1,1
Kepler-58 c,Neptunian,rocky-iron,non-habitable,0,-19.045611,0.1,0.6,0.1,0.1,0.1,1,1
Kepler-60 b,Terran,rocky-water,non-habitable,0,-2.922292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-60 c,Terran,rocky-water,non-habitable,0,-2.72175,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-60 d,Terran,rocky-water,non-habitable,0,-2.523875,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-61 b,Superterran,rocky-iron,mesoplanet,1,-2.012028,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-62 b,Terran,rocky-iron,non-habitable,0,-1.943083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-62 c,Subterran,rocky-iron,non-habitable,0,-1.391167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-62 d,Superterran,rocky-iron,non-habitable,0,-1.81525,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-62 e,Superterran,rocky-iron,mesoplanet,1,-1.381722,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-62 f,Terran,rocky-iron,psychroplanet,1,-1.17016,0.35,0.1,0.35,0.1,0.1,1,1
Kepler-65 b,Terran,rocky-iron,non-habitable,0,-4.071083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-65 c,Neptunian,rocky-iron,non-habitable,0,-3.435042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-65 d,Terran,rocky-iron,non-habitable,0,-2.827375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-68 b,Superterran,rocky-water,non-habitable,0,-2.91175,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-68 c,Terran,rocky-iron,non-habitable,0,-2.319375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-69 b,Superterran,rocky-iron,non-habitable,0,-2.378417,0.1,0.1,0.1,0.6,0.1,1,1
